HomeTeam,AwayTeam,Date
Bournemouth,Liverpool,11/3/2023
Crystal Palace,Man City,11/3/2023
Everton,Brentford,11/3/2023
Fulham,Arsenal,11/3/2023
Leeds,Brighton,11/3/2023
Leicester,Chelsea,11/3/2023
Man Utd,Southampton,11/3/2023
Newcastle,Wolves,11/3/2023
Spurs,Nottingham Forest,11/3/2023
West Ham,Aston Villa,11/3/2023
Arsenal,Crystal Palace,18/3/2023
Aston Villa,Bournemouth,18/3/2023
Brentford,Leicester,18/3/2023
Brighton,Man Utd,18/3/2023
Chelsea,Everton,18/3/2023
Liverpool,Fulham,18/3/2023
Man City,West Ham,18/3/2023
Nottingham Forest,Newcastle,18/3/2023
Southampton,Spurs,18/3/2023
Wolves,Leeds,18/3/2023
Bournemouth,Fulham,1/4/2023
Arsenal,Leeds,1/4/2023
Brighton,Brentford,1/4/2023
Chelsea,Aston Villa,1/4/2023
Crystal Palace,Leicester,1/4/2023
Everton,Spurs,1/4/2023
Man City,Liverpool,1/4/2023
Newcastle,Man Utd,1/4/2023
Nottingham Forest,Wolves,1/4/2023
West Ham,Southampton,1/4/2023
Aston Villa,Nottingham Forest,8/4/2023
Brentford,Newcastle,8/4/2023
Fulham,West Ham,8/4/2023
Leeds,Crystal Palace,8/4/2023
Leicester,Bournemouth,8/4/2023
Liverpool,Arsenal,8/4/2023
Man Utd,Everton,8/4/2023
Southampton,Man City,8/4/2023
Spurs,Brighton,8/4/2023
Wolves,Chelsea,8/4/2023
Aston Villa,Newcastle,15/4/2023
Chelsea,Brighton,15/4/2023
Everton,Fulham,15/4/2023
Leeds,Liverpool,15/4/2023
Man City,Leicester,15/4/2023
Nottingham Forest,Man Utd,15/4/2023
Southampton,Crystal Palace,15/4/2023
Spurs,Bournemouth,15/4/2023
West Ham,Arsenal,15/4/2023
Wolves,Brentford,15/4/2023
Bournemouth,West Ham,22/4/2023
Arsenal,Southampton,22/4/2023
Brentford,Aston Villa,22/4/2023
Brighton,Man City,22/4/2023
Crystal Palace,Everton,22/4/2023
Fulham,Leeds,22/4/2023
Leicester,Wolves,22/4/2023
Liverpool,Nottingham Forest,22/4/2023
Man Utd,Chelsea,22/4/2023
Newcastle,Spurs,22/4/2023
Everton,Newcastle,25/4/2023
Leeds,Leicester,25/4/2023
Nottingham Forest,Brighton,25/4/2023
Spurs,Man Utd,25/4/2023
West Ham,Liverpool,25/4/2023
Wolves,Crystal Palace,25/4/2023
Aston Villa,Fulham,25/4/2023
Chelsea,Brentford,26/4/2023
Southampton,Bournemouth,26/4/2023
Man City,Arsenal,26/4/2023
Bournemouth,Leeds,29/4/2023
Arsenal,Chelsea,29/4/2023
Brentford,Nottingham Forest,29/4/2023
Brighton,Wolves,29/4/2023
Crystal Palace,West Ham,29/4/2023
Fulham,Man City,29/4/2023
Leicester,Everton,29/4/2023
Liverpool,Spurs,29/4/2023
Man Utd,Aston Villa,29/4/2023
Newcastle,Southampton,29/4/2023
Bournemouth,Chelsea,6/5/2023
Brighton,Everton,6/5/2023
Fulham,Leicester,6/5/2023
Liverpool,Brentford,6/5/2023
Man City,Leeds,6/5/2023
Newcastle,Arsenal,6/5/2023
Nottingham Forest,Southampton,6/5/2023
Spurs,Crystal Palace,6/5/2023
West Ham,Man Utd,6/5/2023
Wolves,Aston Villa,6/5/2023
Arsenal,Brighton,13/5/2023
Aston Villa,Spurs,13/5/2023
Brentford,West Ham,13/5/2023
Chelsea,Nottingham Forest,13/5/2023
Crystal Palace,Bournemouth,13/5/2023
Everton,Man City,13/5/2023
Leeds,Newcastle,13/5/2023
Leicester,Liverpool,13/5/2023
Man Utd,Wolves,13/5/2023
Southampton,Fulham,13/5/2023
Bournemouth,Man Utd,20/5/2023
Brighton,Southampton,20/5/2023
Fulham,Crystal Palace,20/5/2023
Liverpool,Aston Villa,20/5/2023
Man City,Chelsea,20/5/2023
Newcastle,Leicester,20/5/2023
Nottingham Forest,Arsenal,20/5/2023
Spurs,Brentford,20/5/2023
West Ham,Leeds,20/5/2023
Wolves,Everton,20/5/2023
Arsenal,Wolves,28/5/2023
Aston Villa,Brighton,28/5/2023
Brentford,Man City,28/5/2023
Chelsea,Newcastle,28/5/2023
Crystal Palace,Nottingham Forest,28/5/2023
Everton,Bournemouth,28/5/2023
Leeds,Spurs,28/5/2023
Leicester,West Ham,28/5/2023
Man Utd,Fulham,28/5/2023
Southampton,Liverpool,28/5/2023
